modelo,experimento,tipo,ticker,lookback,F1_macro,F1_BUY,F1_SELL,F1_HOLD,Win_Rate,Profit_Factor,Max_Drawdown,Sharpe,Cum_Return
CNN,B,por_ticker,TSLA,20.0,0.4057,0.3623,0.2697,0.5852,0.5556,1.2372,-0.23,0.8209,0.4807
CNN,B,por_ticker,AMZN,20.0,0.3251,0.3478,0.093,0.5345,0.4767,1.025,-0.2194,0.0851,0.0203
CNN,B,por_ticker,MSFT,20.0,0.3147,0.2689,0.1818,0.4934,0.48,1.0216,-0.1096,0.0717,0.0128
CNN,B,por_ticker,GOOGL,60.0,0.3283,0.0,0.3871,0.5979,0.4605,0.7375,-0.2379,-1.129,-0.1722
CNN,B,por_ticker,META,20.0,0.304,0.3566,0.0,0.5556,0.5,1.1665,-0.2262,0.4586,0.1231
CNN,C,global,GLOBAL,20.0,0.3727,0.3229,0.2884,0.5069,0.4944,0.9241,-0.6664,-0.3174,-0.5037
CNN,C,por_ticker,AAPL,60.0,0.1587,0.3628,0.0,0.1132,0.5471,1.0933,-0.2299,0.3921,0.097
CNN,C,por_ticker,NVDA,20.0,0.2857,0.0,0.4036,0.4535,0.4561,0.8506,-0.4653,-0.8096,-0.2699
CNN,C,por_ticker,TSLA,60.0,0.3144,0.3433,0.2364,0.3636,0.4932,0.9417,-0.396,-0.3062,-0.1199
CNN,C,por_ticker,AMZN,20.0,0.2822,0.2752,0.0,0.5714,0.4667,1.0203,-0.1866,0.0502,0.0105
CNN,C,por_ticker,MSFT,20.0,0.2858,0.2857,0.0488,0.5228,0.4651,1.0138,-0.148,0.043,0.0073
CNN,C,por_ticker,GOOGL,60.0,0.3361,0.4029,0.0909,0.5146,0.4949,1.1393,-0.1051,0.5492,0.1024
CNN,C,por_ticker,META,20.0,0.2967,0.1111,0.3548,0.4242,0.4833,1.0209,-0.3512,0.0782,0.0237
CNN-LSTM,A,global,GLOBAL,60.0,0.3283,0.2342,0.1885,0.5622,0.5025,1.071,-0.4713,0.1895,0.8164
CNN-LSTM,A,por_ticker,AAPL,60.0,0.3414,0.2949,0.152,0.5772,0.5111,0.9214,-0.4105,-0.2399,-0.0823
CNN-LSTM,A,por_ticker,NVDA,60.0,0.321,0.0,0.4548,0.5083,0.4769,0.9753,-0.3312,-0.1117,-0.0839
CNN-LSTM,A,por_ticker,TSLA,20.0,0.3522,0.3537,0.1838,0.519,0.509,1.012,-0.2816,0.0477,0.0439
CNN-LSTM,A,por_ticker,AMZN,20.0,0.333,0.1889,0.4201,0.3901,0.4971,0.9754,-0.2471,-0.1206,-0.0639
CNN-LSTM,A,por_ticker,MSFT,60.0,0.3476,0.3534,0.1139,0.5755,0.5789,1.2059,-0.1117,0.5945,0.1634
CNN-LSTM,A,por_ticker,GOOGL,20.0,0.3395,0.2892,0.2908,0.4385,0.4403,0.7622,-0.4603,-1.2262,-0.4452
CNN-LSTM,A,por_ticker,META,60.0,0.2978,0.3388,0.0,0.5547,0.5078,1.0913,-0.2986,0.261,0.1115
CNN-LSTM,B,global,GLOBAL,20.0,0.378,0.2533,0.3805,0.5004,0.5043,1.0226,-0.457,0.0905,0.2265
CNN-LSTM,B,por_ticker,AAPL,60.0,0.365,0.3,0.1882,0.6066,0.4769,0.7148,-0.2973,-0.9882,-0.1952
CNN-LSTM,B,por_ticker,NVDA,20.0,0.2637,0.0606,0.3562,0.3743,0.4651,0.988,-0.4025,-0.0588,-0.0222
CNN-LSTM,B,por_ticker,TSLA,20.0,0.3783,0.3846,0.2969,0.4535,0.5,0.9932,-0.3614,-0.0326,-0.017
CNN-LSTM,B,por_ticker,AMZN,20.0,0.4093,0.2326,0.4,0.5953,0.5049,0.9372,-0.3842,-0.2548,-0.0668
CNN-LSTM,B,por_ticker,MSFT,20.0,0.3839,0.1978,0.4565,0.4972,0.4863,1.0985,-0.1991,0.3974,0.0777
CNN-LSTM,B,por_ticker,GOOGL,20.0,0.3041,0.0,0.4314,0.4809,0.4676,0.8744,-0.3823,-0.6023,-0.1408
CNN-LSTM,B,por_ticker,META,60.0,0.3262,0.2286,0.4094,0.3407,0.5076,1.0182,-0.2939,0.0752,0.0211
CNN-LSTM,C,global,GLOBAL,20.0,0.346,0.1197,0.4255,0.4929,0.4968,1.0723,-0.442,0.2918,0.9427
CNN-LSTM,C,por_ticker,AAPL,20.0,0.3714,0.3276,0.2222,0.5643,0.5455,1.1781,-0.2299,0.5001,0.1314
CNN-LSTM,C,por_ticker,NVDA,20.0,0.3701,0.24,0.268,0.6023,0.4881,1.1982,-0.1875,0.6298,0.237
CNN-LSTM,C,por_ticker,TSLA,20.0,0.3944,0.3952,0.28,0.5079,0.5252,1.1003,-0.3158,0.4324,0.2468
CNN-LSTM,C,por_ticker,AMZN,20.0,0.3527,0.3226,0.1942,0.5415,0.4831,1.0352,-0.2194,0.123,0.0298
CNN-LSTM,C,por_ticker,MSFT,60.0,0.3472,0.2947,0.2151,0.5319,0.4337,0.8339,-0.1752,-0.6043,-0.0861
CNN-LSTM,C,por_ticker,GOOGL,60.0,0.3472,0.3964,0.0,0.6452,0.5283,1.4155,-0.0786,1.0889,0.187
CNN-LSTM,C,por_ticker,META,60.0,0.3374,0.25,0.3649,0.3974,0.4955,1.0782,-0.2136,0.2877,0.0758
