modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LSTM,por_ticker,NVDA,C,20.0,0.2851,0.0,0.4107,0.4444,0.2054,0.0,24.6,75.4,-0.2233,-0.8313,-0.6497,-0.4311,0.4651,0.8778
LSTM,por_ticker,TSLA,C,20.0,0.3257,0.4192,0.2222,0.3358,0.3207,72.4,16.2,11.4,0.4477,0.2633,0.6657,-0.284,0.5131,1.1323
LSTM,por_ticker,AMZN,C,20.0,0.3433,0.4088,0.1778,0.4432,0.2933,51.3,41.7,7.0,0.312,0.3326,1.0565,-0.2194,0.5263,1.2761
LSTM,por_ticker,MSFT,C,20.0,0.4222,0.2826,0.4359,0.5481,0.3593,13.2,47.8,39.0,0.3303,0.1353,1.565,-0.1577,0.479,1.505
LSTM,por_ticker,GOOGL,C,20.0,0.412,0.4571,0.2617,0.5172,0.3594,46.5,35.1,18.4,0.1647,-0.401,0.5934,-0.2231,0.527,1.1314
LSTM,por_ticker,META,C,20.0,0.3622,0.2444,0.3892,0.453,0.3168,11.8,39.9,48.2,0.3025,0.3446,0.8177,-0.1964,0.4964,1.2235
LSTM,global,GLOBAL,C,20.0,0.3626,0.401,0.2353,0.4515,0.3181,48.9,32.3,18.8,0.7539,-2.2682,0.24,-0.531,0.5065,1.0556
CNN,por_ticker,AAPL,C,20.0,0.2047,0.0,0.0,0.614,0.0,0.0,100.0,0.0,0.0,-0.2031,0.0,0.0,0.0,
CNN,por_ticker,NVDA,C,20.0,0.2926,0.0,0.3944,0.4835,0.1972,0.0,29.4,70.6,-0.2435,-0.8515,-0.7288,-0.4459,0.4596,0.8598
CNN,por_ticker,TSLA,C,20.0,0.2033,0.0,0.0,0.6098,0.0,0.0,100.0,0.0,0.0,-0.1844,0.0,0.0,0.0,
CNN,por_ticker,AMZN,C,20.0,0.293,0.2574,0.0741,0.5474,0.1657,16.2,80.7,3.1,0.2793,0.2999,1.4468,-0.0584,0.5682,1.8995
CNN,por_ticker,MSFT,C,20.0,0.3773,0.2828,0.2581,0.5909,0.2704,16.2,72.4,11.4,0.36,0.1649,1.8816,-0.0803,0.5079,2.0083
CNN,por_ticker,GOOGL,C,20.0,0.3677,0.3193,0.1935,0.5902,0.2564,21.9,65.8,12.3,-0.1163,-0.682,-0.6631,-0.1742,0.4872,0.8316
CNN,por_ticker,META,C,20.0,0.3244,0.0606,0.4433,0.4694,0.252,1.3,46.5,52.2,0.5093,0.5514,1.3765,-0.1882,0.5082,1.4322
CNN,global,GLOBAL,C,20.0,0.3773,0.301,0.3103,0.5205,0.3057,20.2,50.0,29.8,1.3553,-1.6668,0.3939,-0.4118,0.5125,1.1094
CNN-LSTM,por_ticker,AAPL,C,20.0,0.2811,0.2381,0.0,0.6053,0.119,11.0,89.0,0.0,0.2573,0.0542,1.284,-0.08,0.68,2.2185
CNN-LSTM,por_ticker,NVDA,C,20.0,0.1238,0.0,0.3714,0.0,0.1857,0.0,0.0,100.0,-0.3781,-0.9861,-1.1659,-0.5445,0.4561,0.8141
CNN-LSTM,por_ticker,TSLA,C,20.0,0.3947,0.3886,0.3876,0.4079,0.3881,48.7,22.8,28.5,0.4143,0.2299,0.6443,-0.4064,0.5057,1.1331
CNN-LSTM,por_ticker,AMZN,C,20.0,0.3904,0.3276,0.314,0.5297,0.3208,22.8,56.6,20.6,0.7605,0.7811,2.3328,-0.1244,0.5253,1.8828
CNN-LSTM,por_ticker,MSFT,C,20.0,0.3838,0.3279,0.3111,0.5126,0.3195,26.3,43.9,29.8,0.0341,-0.1609,0.1818,-0.2023,0.4531,1.0473
CNN-LSTM,por_ticker,GOOGL,C,20.0,0.3507,0.4321,0.0,0.6201,0.216,40.8,59.2,0.0,-0.0013,-0.5671,-0.0062,-0.1972,0.4839,0.9984
CNN-LSTM,por_ticker,META,C,20.0,0.3013,0.304,0.4259,0.1739,0.365,27.2,11.0,61.8,0.6218,0.664,1.4297,-0.2254,0.5074,1.3382
CNN-LSTM,global,GLOBAL,C,20.0,0.3742,0.3325,0.2473,0.5428,0.2899,21.3,55.6,23.1,1.2806,-1.7416,0.4087,-0.5637,0.5014,1.1206
LSTM,por_ticker,AAPL,C,60.0,0.1567,0.3791,0.0,0.0909,0.1896,88.3,11.7,0.0,0.3149,0.0872,1.1421,-0.2299,0.5602,1.3022
LSTM,por_ticker,NVDA,C,60.0,0.3122,0.0755,0.3955,0.4658,0.2355,1.6,26.1,72.3,-0.0377,-0.7406,-0.1288,-0.4407,0.4604,0.9736
