modelo,dataset,exp,tipo,ticker,n_eval,sharpe_5bp,retorno_5bp,turnover_medio,sharpe_10bp,retorno_10bp,test_f1_ens,test_f1_mean,test_f1_std,val_f1_ens,test_f1_buy,test_f1_hold,test_f1_sell,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell
LR,v1,B,por_ticker,AMZN,248,-0.0664,-0.0183,0.2097,-0.1599,-0.0435,0.3501,0.3501,0.0,0.2981,0.3586,0.5203,0.1714,0.0273,0.49,1.0077,-0.2099,29.4,59.7,10.9
LR,v1,B,por_ticker,MSFT,248,-0.6074,-0.1111,0.2742,-0.7826,-0.1408,0.3247,0.3247,0.0,0.3047,0.3563,0.5,0.1176,-0.4319,0.4962,0.8952,-0.2108,42.7,46.4,10.9
LR,v1,B,por_ticker,GOOGL,248,0.6709,0.155,0.1855,0.564,0.1288,0.3758,0.3758,0.0,0.2759,0.3448,0.6008,0.1818,0.7775,0.5301,1.243,-0.1927,27.0,66.5,6.5
LR,v1,B,por_ticker,META,248,-0.2388,-0.076,0.3548,-0.3717,-0.1157,0.3634,0.3634,0.0,0.3008,0.3056,0.5286,0.256,-0.1058,0.4444,0.9723,-0.2263,29.0,52.8,18.1
XGBoost,v1,B,global,GLOBAL,1736,0.2346,0.7832,0.6463,0.0071,0.0176,0.3591,0.3554,0.0046,0.3485,0.3236,0.3978,0.3559,0.462,0.4908,1.1111,-0.4985,26.9,31.1,42.0
XGBoost,v1,B,por_ticker,AAPL,248,-0.4845,-0.1271,0.5444,-0.7241,-0.1841,0.3321,0.3251,0.011,0.3688,0.2597,0.4372,0.2992,-0.2441,0.5035,0.9356,-0.3104,36.3,43.1,20.6
XGBoost,v1,B,por_ticker,NVDA,248,0.9364,0.4712,0.7056,0.725,0.3479,0.3568,0.3679,0.0188,0.3671,0.3115,0.4021,0.3568,1.147,0.5281,1.2684,-0.4127,21.8,28.2,50.0
XGBoost,v1,B,por_ticker,TSLA,248,0.4284,0.249,0.6613,0.2704,0.1507,0.4096,0.4005,0.0171,0.3132,0.3885,0.507,0.3333,0.5865,0.5524,1.1409,-0.258,28.2,42.3,29.4
XGBoost,v1,B,por_ticker,AMZN,248,-0.4663,-0.1235,0.6532,-0.7516,-0.1917,0.3515,0.3554,0.0093,0.3713,0.3358,0.4257,0.293,-0.18,0.5069,0.9578,-0.3091,26.2,41.9,31.9
XGBoost,v1,B,por_ticker,MSFT,248,0.1778,0.0409,0.7137,-0.2149,-0.0473,0.4016,0.4005,0.0159,0.3579,0.3885,0.4641,0.3523,0.5708,0.5,1.1372,-0.2124,28.6,30.6,40.7
XGBoost,v1,B,por_ticker,GOOGL,248,-0.5472,-0.1278,0.5605,-0.8243,-0.1864,0.3565,0.3573,0.0116,0.3692,0.383,0.4216,0.2649,-0.2693,0.507,0.9392,-0.2497,25.4,42.7,31.9
XGBoost,v1,B,por_ticker,META,248,0.1476,0.0511,0.625,-0.0817,-0.0272,0.3349,0.3469,0.0059,0.3486,0.3453,0.4,0.2593,0.3771,0.4362,1.0979,-0.2448,27.0,39.9,33.1
LSTM,v1,B,global,GLOBAL,1736,-0.3776,-0.6128,0.0939,-0.41,-0.6431,0.3688,0.3535,0.0178,0.3402,0.2903,0.4564,0.3598,-0.3451,0.4901,0.9225,-0.6758,18.1,35.8,46.0
LSTM,v1,B,por_ticker,AAPL,248,0.275,0.0844,0.0887,0.2379,0.0726,0.3797,0.3483,0.039,0.3158,0.3279,0.4526,0.3587,0.3121,0.512,1.0782,-0.2299,23.4,33.1,43.5
LSTM,v1,B,por_ticker,NVDA,248,-0.6159,-0.2468,0.0403,-0.6267,-0.2505,0.2926,0.2513,0.0786,0.2462,0.0,0.4898,0.3879,-0.605,0.4503,0.8778,-0.4735,0.0,31.0,69.0
LSTM,v1,B,por_ticker,TSLA,248,1.7622,1.8106,0.0927,1.7435,1.7785,0.38,0.342,0.0468,0.3068,0.3281,0.3613,0.4507,1.7807,0.5572,1.4034,-0.23,23.8,19.0,57.3
LSTM,v1,B,por_ticker,AMZN,248,0.3156,0.0896,0.1129,0.2643,0.0745,0.4014,0.358,0.0213,0.3955,0.3411,0.5234,0.3399,0.3668,0.5,1.0913,-0.2038,23.0,46.8,30.2
LSTM,v1,B,por_ticker,MSFT,248,-1.5932,-0.2561,0.121,-1.6742,-0.2672,0.293,0.299,0.0158,0.3502,0.1923,0.479,0.2078,-1.5119,0.3739,0.6456,-0.272,14.5,53.6,31.9
LSTM,v1,B,por_ticker,GOOGL,248,-0.9272,-0.2045,0.1129,-0.9849,-0.2155,0.3379,0.3367,0.0114,0.3767,0.3378,0.4615,0.2143,-0.8695,0.4783,0.8214,-0.2343,28.2,44.4,27.4
LSTM,v1,B,por_ticker,META,248,-0.8002,-0.241,0.0444,-0.8161,-0.2452,0.2396,0.2641,0.0385,0.2998,0.0519,0.2388,0.4281,-0.7842,0.4429,0.8534,-0.3884,2.0,15.3,82.7
CNN,v1,B,global,GLOBAL,1736,-0.4964,-0.7062,0.106,-0.5336,-0.7321,0.359,0.3498,0.0126,0.3349,0.2523,0.452,0.3727,-0.4592,0.4842,0.9001,-0.725,15.6,34.6,49.9
CNN,v1,B,por_ticker,AAPL,248,-0.1803,-0.0555,0.0363,-0.1945,-0.0597,0.1932,0.2369,0.0913,0.1497,0.1111,0.0,0.4684,-0.1661,0.4798,0.9673,-0.3592,3.2,0.0,96.8
CNN,v1,B,por_ticker,NVDA,248,0.6204,0.3556,0.004,0.6194,0.355,0.1435,0.2137,0.0368,0.1844,0.4304,0.0,0.0,0.6214,0.5363,1.1194,-0.3688,100.0,0.0,0.0
CNN,v1,B,por_ticker,TSLA,248,0.0651,0.0412,0.0202,0.061,0.0386,0.1806,0.2352,0.0795,0.1675,0.0988,0.0,0.443,0.0691,0.5081,1.0119,-0.4435,4.8,0.0,95.2
CNN,v1,B,por_ticker,AMZN,248,-0.4381,-0.1377,0.1331,-0.486,-0.1518,0.2208,0.2356,0.0513,0.2918,0.4477,0.0,0.2149,-0.3899,0.5161,0.9319,-0.3359,82.7,0.0,17.3
CNN,v1,B,por_ticker,MSFT,248,-0.3353,-0.0764,0.1008,-0.3877,-0.0879,0.1817,0.2563,0.0816,0.2409,0.4073,0.0,0.1379,-0.2827,0.4758,0.9478,-0.2056,83.5,0.0,16.5
CNN,v1,B,por_ticker,GOOGL,248,0.4089,0.1226,0.0766,0.3752,0.112,0.333,0.2742,0.0689,0.2961,0.5085,0.4485,0.0421,0.4426,0.5083,1.0906,-0.2981,63.7,27.0,9.3
CNN,v1,B,por_ticker,META,248,-0.5125,-0.1735,0.0524,-0.5297,-0.1789,0.1714,0.2659,0.074,0.2173,0.4161,0.0,0.098,-0.4953,0.4839,0.9113,-0.3782,91.1,0.0,8.9
CNN-LSTM,v1,B,global,GLOBAL,1736,-0.1387,-0.2887,0.1832,-0.2034,-0.3933,0.3723,0.3339,0.042,0.3656,0.3477,0.4897,0.2794,-0.0739,0.4844,0.9824,-0.6213,33.0,39.2,27.8
CNN-LSTM,v1,B,por_ticker,AAPL,248,-0.1089,-0.032,0.2097,-0.1959,-0.0569,0.3639,0.3297,0.0464,0.317,0.3922,0.3953,0.3041,-0.0219,0.5054,0.9949,-0.2487,35.9,25.8,38.3
CNN-LSTM,v1,B,por_ticker,NVDA,248,0.4818,0.2608,0.2258,0.4234,0.226,0.2608,0.3027,0.0742,0.2791,0.1556,0.2192,0.4077,0.5402,0.4932,1.1098,-0.4144,8.9,10.9,80.2
CNN-LSTM,v1,B,por_ticker,TSLA,248,-0.0479,-0.0281,0.125,-0.074,-0.0431,0.3325,0.3281,0.0455,0.2915,0.2791,0.3077,0.4107,-0.0219,0.507,0.996,-0.3558,24.2,14.1,61.7
CNN-LSTM,v1,B,por_ticker,AMZN,248,1.2636,0.4184,0.2339,1.1584,0.3779,0.4057,0.3823,0.0157,0.4185,0.3538,0.4828,0.3804,1.3684,0.5524,1.3699,-0.1068,23.4,42.3,34.3
CNN-LSTM,v1,B,por_ticker,MSFT,248,-0.5444,-0.1052,0.2581,-0.7009,-0.1334,0.3305,0.3388,0.0294,0.3346,0.2314,0.4554,0.3046,-0.3876,0.4651,0.9013,-0.2353,21.4,48.0,30.6
CNN-LSTM,v1,B,por_ticker,GOOGL,248,-0.0087,-0.002,0.2016,-0.1169,-0.0266,0.3815,0.3817,0.0072,0.358,0.3485,0.568,0.2281,0.0999,0.5521,1.0267,-0.1818,21.8,61.3,16.9
CNN-LSTM,v1,B,por_ticker,META,248,0.3553,0.1354,0.254,0.2674,0.1001,0.3705,0.3405,0.0236,0.33,0.3776,0.32,0.4138,0.4431,0.4794,1.0989,-0.2459,28.6,21.8,49.6
LR,v1,C,global,GLOBAL,1736,0.795,5.7153,0.3606,0.6645,3.9105,0.4005,0.4005,0.0,0.3153,0.31,0.5386,0.3528,0.9252,0.5293,1.2724,-0.4418,18.5,49.0,32.5
LR,v1,C,por_ticker,AAPL,248,0.4799,0.1442,0.3306,0.3342,0.0982,0.3938,0.3938,0.0,0.2507,0.3946,0.5887,0.198,0.6251,0.5741,1.1966,-0.2981,33.5,56.5,10.1
LR,v1,C,por_ticker,NVDA,248,1.8214,1.2338,0.3387,1.7287,1.142,0.404,0.404,0.0,0.3341,0.2316,0.537,0.4432,1.9136,0.543,1.5621,-0.1755,10.9,39.1,50.0
LR,v1,C,por_ticker,TSLA,248,-0.3158,-0.1475,0.2984,-0.3893,-0.1785,0.3621,0.3621,0.0,0.2753,0.1667,0.5691,0.3506,-0.2424,0.4455,0.9385,-0.3941,10.9,55.6,33.5
LR,v1,C,por_ticker,AMZN,248,0.3739,0.1131,0.1855,0.2938,0.0878,0.3827,0.3827,0.0,0.2682,0.3676,0.5462,0.2342,0.4538,0.5464,1.1377,-0.2274,25.8,60.9,13.3
