fecha_hora,via,dataset,modelo,exp,modo,tipo,ticker,lookback,config_json,semillas,n_train,n_val,n_eval,val_f1_ens,val_f1_mean,val_f1_std,eval_f1_ens,eval_f1_mean,eval_f1_std,eval_f1_buy,eval_f1_hold,eval_f1_sell,eval_sharpe,eval_win_rate,eval_profit_factor,eval_max_dd,eval_signal_buy,eval_signal_hold,eval_signal_sell,epocas,segundos,es_evaluacion_en_test,notas
2026-08-14 21:07:34,V0-replicacion,v1,CNN,C,final,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6902,1624,1596,0.352,0.316,0.0243,0.3727,0.3412,0.0268,0.3229,0.5069,0.2884,-0.3174,0.4944,0.9241,-0.6664,32.1,43.6,24.3,"[3, 1, 2]",15.3,True,replicacion de v4
2026-08-14 21:07:52,V0-replicacion,v1,CNN,C,final,global,GLOBAL,60.0,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6622,1344,1316,0.321,0.3319,0.0268,0.3153,0.3158,0.0259,0.1787,0.4072,0.36,-0.665,0.4762,0.8521,-0.8017,12.5,34.6,52.9,"[1, 8, 7]",18.2,True,replicacion de v4
2026-08-14 21:08:31,V0-replicacion,v1,CNN-LSTM,A,final,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17472,1624,1596,0.3704,0.3511,0.0121,0.3641,0.3665,0.0091,0.3794,0.4257,0.2871,0.0837,0.4932,1.0191,-0.5342,35.7,31.0,33.3,"[2, 2, 3]",38.5,True,replicacion de v4
2026-08-14 21:09:10,V0-replicacion,v1,CNN-LSTM,A,final,global,GLOBAL,60.0,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",17192,1344,1316,0.3737,0.334,0.017,0.3764,0.3517,0.0132,0.3601,0.4921,0.277,0.6859,0.5019,1.1865,-0.46,31.2,40.8,28.0,"[3, 2, 3]",39.4,True,replicacion de v4
2026-08-14 21:09:33,V0-replicacion,v1,CNN-LSTM,B,final,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10423,1624,1596,0.3487,0.2985,0.0331,0.3835,0.3335,0.0379,0.3308,0.5462,0.2734,0.1467,0.5047,1.0408,-0.4033,22.3,53.2,24.5,"[2, 1, 1]",23.4,True,replicacion de v4
2026-08-14 21:10:01,V0-replicacion,v1,CNN-LSTM,B,final,global,GLOBAL,60.0,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",10143,1344,1316,0.352,0.3139,0.0321,0.3761,0.3453,0.0051,0.3106,0.5951,0.2226,0.7256,0.5209,1.2606,-0.4342,17.1,65.4,17.5,"[4, 2, 2]",27.7,True,replicacion de v4
2026-08-14 21:10:19,V0-replicacion,v1,CNN-LSTM,C,final,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6902,1624,1596,0.33,0.2916,0.0089,0.3366,0.3048,0.0249,0.0923,0.496,0.4215,-0.0164,0.4793,0.9959,-0.5058,4.9,42.5,52.6,"[3, 1, 1]",17.9,True,replicacion de v4
2026-08-14 21:10:35,V0-replicacion,v1,CNN-LSTM,C,final,global,GLOBAL,60.0,"{""lookback"": 60, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7]",6622,1344,1316,0.3627,0.3363,0.0277,0.371,0.3449,0.0258,0.3229,0.5247,0.2655,0.624,0.5083,1.1817,-0.4634,25.8,49.6,24.6,"[1, 1, 1]",16.0,True,replicacion de v4
2026-08-14 21:11:50,V1-D1_criterio,v1,LSTM,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.2514,0.2561,0.0226,0.2882,0.2859,0.0305,0.1194,0.5306,0.2147,-0.3938,0.457,0.8658,-0.5309,6.5,77.1,16.4,"[21, 1, 16, 13, 16]",51.4,False,variante=val_loss
2026-08-14 21:12:42,V1-D1_criterio,v1,LSTM,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_f1"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.3671,0.3521,0.0065,0.3489,0.3444,0.0146,0.2993,0.358,0.3894,-0.1402,0.492,0.9693,-0.6165,23.7,30.4,45.9,"[5, 12, 13, 20, 24]",52.0,False,variante=val_f1
2026-08-14 21:13:42,V1-D1_criterio,v1,LSTM,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_f1_ma3"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.344,0.3335,0.0181,0.3486,0.3336,0.009,0.2544,0.415,0.3764,-0.5347,0.492,0.8812,-0.711,18.3,38.4,43.3,"[27, 28, 15, 20, 9]",60.5,False,variante=val_f1_ma3
2026-08-14 21:14:21,V1-D1_criterio,v1,CNN,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.2339,0.2462,0.024,0.2949,0.3006,0.0289,0.1643,0.5315,0.1888,-0.1808,0.5014,0.9346,-0.4257,9.1,78.5,12.4,"[4, 9, 4, 4, 9]",38.3,False,variante=val_loss
2026-08-14 21:15:21,V1-D1_criterio,v1,CNN,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_f1"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.3695,0.3589,0.004,0.3309,0.3279,0.0085,0.2816,0.2875,0.4234,-0.3082,0.5043,0.9369,-0.7133,21.0,20.4,58.6,"[20, 15, 24, 12, 14]",60.1,False,variante=val_f1
2026-08-14 21:16:24,V1-D1_criterio,v1,CNN,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": true, ""pooling"": ""last"", ""filtros"": [64, 128, 192], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_f1_ma3"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.3425,0.334,0.0068,0.3254,0.3226,0.0179,0.2249,0.3235,0.4277,-0.503,0.4867,0.8968,-0.7894,15.4,23.7,60.9,"[25, 5, 25, 1, 41]",63.2,False,variante=val_f1_ma3
2026-08-14 21:17:03,V1-D1_criterio,v1,CNN-LSTM,B,dev,global,GLOBAL,20.0,"{""lookback"": 20, ""escalador"": ""minmax"", ""clip"": 0.0, ""alineado"": false, ""arch"": ""cnn_lstm"", ""hidden"": 128, ""layers"": 2, ""dropout"": 0.3, ""bidir"": false, ""pooling"": ""last"", ""filtros"": [64, 128], ""kernel"": 3, ""dilatacion"": 1, ""batchnorm"": true, ""fc_dim"": 128, ""pool_cnn"": ""gap_gmp"", ""epochs"": 80, ""patience"": 15, ""batch"": 128, ""lr"": 0.001, ""weight_decay"": 0.0001, ""class_weight"": ""balanced"", ""scheduler"": ""plateau"", ""grad_clip"": 1.0, ""criterio"": ""val_loss"", ""loss"": ""ce"", ""label_smooth"": 0.0, ""focal_gamma"": 2.0, ""refit_trainval"": false}","[42, 1, 7, 2024, 100]",8673,1610,1624,0.2916,0.2936,0.0164,0.3374,0.335,0.0098,0.2077,0.4975,0.3069,-0.4168,0.4916,0.8849,-0.576,12.7,59.8,27.5,"[9, 3, 4, 6, 3]",39.2,False,variante=val_loss
