ticker,p_sell,p_hold,p_buy,y_true,y_true_lbl,r_forward
TSLA,0.36306571835417706,0.34330279439123845,0.2936314872545846,1,HOLD,-0.0044993863680713635
TSLA,0.34195429789565757,0.36765537186315106,0.2903903302411914,1,HOLD,0.015527202757109204
TSLA,0.3196426558308929,0.3877653457471179,0.2925919984219892,1,HOLD,-0.006507353223946919
TSLA,0.3122346485067064,0.4113846976498881,0.2763806538434055,1,HOLD,-0.0003295782832779731
TSLA,0.3274663197716413,0.4023427423991019,0.27019093782925674,0,SELL,-0.021258551524587485
TSLA,0.29723443905389485,0.4136414247636307,0.2891241361824744,0,SELL,-0.03327112293491262
TSLA,0.28916193306312565,0.41195093168964997,0.29888713524722443,1,HOLD,-0.01139973602177475
AMZN,0.3686931284063658,0.2655062637565378,0.36580060783709645,2,BUY,0.017866865271653997
AMZN,0.3423551484804519,0.3182682493140627,0.3393766022054854,2,BUY,0.015139723199454136
AMZN,0.336063094833574,0.32311967670048797,0.34081722846593804,0,SELL,-0.02446088330127337
AMZN,0.32483332809527915,0.30589212858228976,0.3692745433224311,1,HOLD,9.006065292234922e-05
AMZN,0.36323693953358566,0.2908417132467385,0.3459213472196758,0,SELL,-0.01446508722386957
AMZN,0.35543343553538503,0.25639313411285763,0.3881734303517573,1,HOLD,-0.002194768679336334
AMZN,0.3471963461460863,0.26671555813649744,0.3860880957174163,1,HOLD,-0.0032094484707197966
AMZN,0.3512922734831518,0.27782097943591805,0.3708867470809302,2,BUY,0.025346561447878488
AMZN,0.374244377281462,0.3080716944572688,0.3176839282612692,0,SELL,-0.012117003196939351
AMZN,0.3347428431760592,0.32749442655250227,0.3377627302714385,2,BUY,0.02364641617601076
AMZN,0.3532180590727535,0.31451615313441633,0.3322657877928301,2,BUY,0.02089205157407654
AMZN,0.3368182152644767,0.34439676300610045,0.3187850217294229,2,BUY,0.018466503377704703
AMZN,0.3499511712112541,0.35389520688675347,0.29615362190199257,1,HOLD,0.0017431021503980866
AMZN,0.3515216095649966,0.3600464916335421,0.2884318988014613,1,HOLD,-0.0024241067445138365
AMZN,0.3212377165089666,0.3624976705632325,0.3162646129278009,1,HOLD,0.002424106744513845
AMZN,0.33599629194218494,0.3168116953849542,0.3471920126728609,2,BUY,0.01152955641148476
AMZN,0.343110970106859,0.32237848294223936,0.3345105469509017,1,HOLD,-0.004545214548105975
AMZN,0.3453387948031857,0.3308072190401999,0.3238539861566143,0,SELL,-0.01030306500192206
AMZN,0.359681966534478,0.33156988248363406,0.308748150981888,2,BUY,0.012872778270920829
AMZN,0.33327233346157764,0.3274015399339397,0.33932612660448264,1,HOLD,-0.0010944834258047257
AMZN,0.35525433801333733,0.29398992919706973,0.3507557327895929,2,BUY,0.01935490231141661
AMZN,0.3556068451756565,0.3209461607796627,0.32344699404468075,0,SELL,-0.024633742288564034
AMZN,0.3607639775372091,0.31697131512047827,0.3222647073423126,2,BUY,0.011200132499427723
AMZN,0.3814466219884599,0.30712267115610536,0.3114307068554347,0,SELL,-0.041375225115693685
AMZN,0.3579175190958635,0.2792671341517283,0.3628153467524081,2,BUY,0.01726234455405195
AMZN,0.34539625284611897,0.3290021713535196,0.3256015758003614,1,HOLD,-0.0016312726853763525
AMZN,0.3544172477375585,0.32205137346434454,0.3235313787980969,0,SELL,-0.016591608211964908
AMZN,0.3596288536164504,0.31271675723201986,0.3276543891515296,1,HOLD,0.006270442838655877
AMZN,0.3695266191228744,0.3298780131301409,0.3005953677469847,0,SELL,-0.007363076447512864
AMZN,0.3464790198219161,0.3319359201265069,0.32158506005157705,0,SELL,-0.008916663909923439
AMZN,0.3655738584212792,0.31386173989335137,0.3205644016853694,1,HOLD,-8.819720145894445e-05
AMZN,0.36677896159937023,0.3197020680823105,0.3135189703183192,0,SELL,-0.016685221316839496
AMZN,0.35371527643736733,0.31769323274396627,0.3285914908186663,0,SELL,-0.028673529284667792
AMZN,0.3561722743398558,0.2640769296248821,0.3797507960352621,0,SELL,-0.018030235415601108
AMZN,0.3439497111864572,0.2677723574722696,0.38827793134127325,1,HOLD,0.0004230045694208501
AMZN,0.40013042656382797,0.21838332859282625,0.3814862448433457,1,HOLD,0.00725744971005982
AMZN,0.37632441907310354,0.2424602793869464,0.38121530153995015,0,SELL,-0.02652073681079192
AMZN,0.36591225456409615,0.22329425122846416,0.41079349420743977,2,BUY,0.01681666750153127
AMZN,0.3883315930515351,0.24619180294792722,0.36547660400053766,0,SELL,-0.03479859601476046
AMZN,0.3662588250461367,0.20270324082590202,0.4310379341279613,1,HOLD,-0.005968420431592876
AMZN,0.38013020385580193,0.17267912950271738,0.4471906666414808,2,BUY,0.022128220043401252
AMZN,0.40757276094259726,0.20886279653402112,0.38356444252338157,0,SELL,-0.037456115209580504
AMZN,0.39995304611927834,0.1663540261502776,0.4336929277304441,0,SELL,-0.0072509229263983
AMZN,0.4139590456668465,0.16927551425560133,0.4167654400775522,0,SELL,-0.023922554740530594
AMZN,0.3852942322082432,0.13515212325358503,0.4795536445381718,2,BUY,0.010482560161564325
AMZN,0.38438267433345963,0.1479363864370853,0.46768093922945514,2,BUY,0.011631581915007516
AMZN,0.4203042232039892,0.17685978213980366,0.4028359946562071,0,SELL,-0.02546092021137873
AMZN,0.39454339759417906,0.17914420725243438,0.42631239515338654,2,BUY,0.020723473340341268
AMZN,0.405125094504668,0.22157510619321166,0.37329979930212026,0,SELL,-0.011227182074080659
AMZN,0.36837601247396246,0.2442579000634076,0.38736608746262996,0,SELL,-0.015030126840267754
AMZN,0.37453998186500614,0.2151275244659396,0.4103324936690543,2,BUY,0.014007778521538292
AMZN,0.3960554250646624,0.2464721465858316,0.35747242834950604,1,HOLD,-0.0030218279679656837
AMZN,0.3780582734756689,0.23988229895116014,0.38205942757317096,1,HOLD,0.006442448675219972
AMZN,0.3684829391992625,0.25734104052204926,0.37417602027868824,2,BUY,0.03530037223454001
AMZN,0.36233142065034263,0.31035704345734366,0.3273115358923138,2,BUY,0.011981521917604297
AMZN,0.3479770290087906,0.32071894524179534,0.33130402574941403,0,SELL,-0.022515953159889142
AMZN,0.3636355200252105,0.2949156970342958,0.34144878294049363,1,HOLD,0.001142864416179142
AMZN,0.3804855593945257,0.2795303954758831,0.3399840451295912,0,SELL,-0.043855989217514546
AMZN,0.3660382907709178,0.2388619106342965,0.3950997985947857,0,SELL,-0.012846835734262254
AMZN,0.4110991989945915,0.2150812790281661,0.3738195219772425,1,HOLD,0.00998885850959942
AMZN,0.3855788893844232,0.23590180984099982,0.37851930077457707,2,BUY,0.019785262896236874
AMZN,0.4067585059862982,0.23425923824875672,0.3589822557649451,0,SELL,-0.0940813573992858
AMZN,0.4050365397921077,0.12581803395715166,0.46914542625074057,0,SELL,-0.04242073641032032
AMZN,0.3909350532400354,0.04941708914509479,0.5596478576148698,2,BUY,0.024606997782102066
AMZN,0.4403056554936677,0.05411950115008277,0.5055748433562495,0,SELL,-0.026597259717812963
AMZN,0.4440297614580976,0.052852149493681604,0.5031180890482209,2,BUY,0.11312358861813517
AMZN,0.5962433479508495,0.12808472522794298,0.2756719268212074,0,SELL,-0.053085113655140896
AMZN,0.4208877484403762,0.09789859472799202,0.4812136568316317,2,BUY,0.019941079422269643
AMZN,0.46559031736406514,0.13487422883589445,0.39953545380004046,0,SELL,-0.014987065296594422
AMZN,0.4172556204503656,0.17356699026683733,0.409177389282797,0,SELL,-0.013989329016472998
AMZN,0.4117803723173359,0.18277665836241874,0.4054429693202454,0,SELL,-0.029726389380639047
AMZN,0.4150155894755859,0.15258659823706844,0.4323978122873456,0,SELL,-0.00991534732389348
AMZN,0.42048974520962695,0.18616923323132334,0.39334102155904965,0,SELL,-0.031126527586896723
AMZN,0.3858311592133515,0.1620382556215904,0.45213058516505805,2,BUY,0.03442328337941731
AMZN,0.43876350064622127,0.1821080521463392,0.3791284472074396,2,BUY,0.041953201051518486
AMZN,0.43028467814652577,0.19242834328469502,0.37728697856877924,2,BUY,0.032360982528496264
AMZN,0.4283234613481791,0.2322924411520089,0.3393840974998121,2,BUY,0.013048475365695443
AMZN,0.3921014006884487,0.24759157093643538,0.36030702837511586,1,HOLD,-0.0068492053390797475
AMZN,0.37677509305262824,0.25619918750687026,0.3670257194405015,1,HOLD,-0.0016529240033086564
AMZN,0.37422295019502433,0.2677965377026828,0.35798051210229287,0,SELL,-0.01597624814818092
AMZN,0.4037254325451931,0.2397674648337907,0.3565071026210162,2,BUY,0.030860378884021808
AMZN,0.41181679357574225,0.24106303191708003,0.3471201745071777,1,HOLD,-0.0011573530932636395
AMZN,0.3914641215992837,0.26093804520876307,0.34759783319195336,0,SELL,-0.019292122294797282
AMZN,0.3441166452075442,0.2762836097291259,0.37959974506332983,1,HOLD,-0.00721681069789819
AMZN,0.35028794066935015,0.2630868095828848,0.38662524974776513,2,BUY,0.019801632738363693
AMZN,0.37902329876671415,0.2699120997992932,0.35106460143399276,2,BUY,0.01770048072706834
AMZN,0.3733390112453693,0.2803899071957321,0.3462710815588987,1,HOLD,0.005089047328858073
AMZN,0.3375788313790328,0.30411239149752484,0.3583087771234425,2,BUY,0.07760926703827985
AMZN,0.3614789463458866,0.32513781097865535,0.31338324267545803,2,BUY,0.012999853383055317
AMZN,0.3313090944008869,0.3301940992471387,0.3384968063519743,1,HOLD,-0.005312830342904736
AMZN,0.33914353072199793,0.3391509514476217,0.32170551783038037,0,SELL,-0.024458403999516362
AMZN,0.3508605145759571,0.32052218606629623,0.3286172993577466,1,HOLD,0.002044981599618388
AMZN,0.32429686498814986,0.35616560087229904,0.31953753413955105,1,HOLD,0.0027687076543830617
AMZN,0.3096191983878729,0.36589787764290654,0.3244829239692205,0,SELL,-0.010189475975831261
AMZN,0.31957488553301033,0.34402399335599704,0.33640112111099263,0,SELL,-0.01456138756787949
AMZN,0.34247711444925183,0.3016339578911878,0.3558889276595603,1,HOLD,0.009796778074282274
AMZN,0.34767407095582703,0.30739266796350073,0.3449332610806722,0,SELL,-0.010443315729919826
AMZN,0.3359382156557266,0.30754861529675476,0.3565131690475185,2,BUY,0.02471808928544102
AMZN,0.3416903739065888,0.3430481782304848,0.31526144786292654,1,HOLD,-0.006330074379308311
AMZN,0.32879999934237547,0.3321261762635952,0.3390738243940292,1,HOLD,0.004775584008620333
AMZN,0.3403838384769198,0.3349459746730258,0.3246701868500544,1,HOLD,-0.003360050181079145
AMZN,0.3322130550089711,0.3152346709821989,0.35255227400883005,1,HOLD,0.007967779780350723
AMZN,0.31424193897025765,0.35895867637583545,0.32679938465390695,1,HOLD,-0.00455906882030232
AMZN,0.30857436888682205,0.3581750911994134,0.3332505399137646,1,HOLD,0.007361824330479417
AMZN,0.3242212267963104,0.3571641865607783,0.31861458664291126,1,HOLD,0.003276044436817532
AMZN,0.3203573000965203,0.33680927892634277,0.3428334209771369,2,BUY,0.0268593707089079
AMZN,0.3153902733933048,0.37484950024778946,0.30976022635890577,2,BUY,0.015840481625608374
AMZN,0.3030813718990638,0.38266961331847477,0.3142490147824615,1,HOLD,0.0028993089092673027
AMZN,0.3146800915372171,0.3877177103086337,0.2976021981541491,0,SELL,-0.02047379463536856
AMZN,0.3095952710148522,0.38099005285900517,0.3094146761261426,1,HOLD,0.00018763973740831241
AMZN,0.3203579374505971,0.38495905787152657,0.2946830046778763,1,HOLD,-0.005360427367806205
AMZN,0.3079788321954933,0.3502572061536948,0.34176396165081185,2,BUY,0.01868340140955021
AMZN,0.30798751547233133,0.36857393311688486,0.32343855141078376,1,HOLD,-0.0059407894922023025
AMZN,0.3133432544869447,0.3348779961859488,0.3517787493271064,0,SELL,-0.010764380578029788
AMZN,0.31793155156159186,0.32640935538422106,0.35565909305418714,0,SELL,-0.013405860444963278
AMZN,0.3250485464027026,0.31381623510152096,0.3611352184957765,1,HOLD,-0.005835109391705959
AMZN,0.30919337095690136,0.34680913864048757,0.34399749040261113,2,BUY,0.02041663831593163
AMZN,0.304891005723745,0.3571012384850271,0.33800775579122777,1,HOLD,-0.0036726605052767557
AMZN,0.2977505259936556,0.3716552921404987,0.3305941818658457,2,BUY,0.023911043937020576
AMZN,0.31625867901833454,0.37325162783921784,0.31048969314244756,2,BUY,0.028065998915184062
AMZN,0.3438927909669525,0.3308326593224603,0.32527454971058717,0,SELL,-0.017665207343808734
AMZN,0.28983692742190303,0.3922009555128895,0.3179621170652075,1,HOLD,0.004865337820140418
AMZN,0.2944304489263604,0.38309989782883597,0.3224696532448036,1,HOLD,-0.002452467458083949
AMZN,0.3094298610432541,0.3827048604231318,0.3078652785336141,2,BUY,0.015744829251554494
AMZN,0.30585081824908744,0.4049477500315807,0.289201431719332,1,HOLD,0.00026851753624536286
AMZN,0.2889604250014182,0.3877786121247571,0.3232609628738247,0,SELL,-0.018562963722362966
AMZN,0.2934163374669875,0.387680984392256,0.3189026781407566,2,BUY,0.014392611963869897
AMZN,0.30731197188206016,0.3895609415084151,0.3031270866095247,1,HOLD,-0.0012589875178302516
AMZN,0.311201901705991,0.3940030956363069,0.2947950026577021,2,BUY,0.01234146308748988
AMZN,0.2998875875690049,0.38546011312005907,0.3146522993109361,1,HOLD,0.0029730809278073135
AMZN,0.2949160577181321,0.3979591876116594,0.30712475467020844,1,HOLD,0.0029201137891530816
AMZN,0.29797158255688627,0.38347206910693743,0.31855634833617635,0,SELL,-0.014059063272129654
AMZN,0.3140179569403966,0.387521337319882,0.2984607057397214,1,HOLD,0.003086778258328562
AMZN,0.3152038866321416,0.3880580354039534,0.29673807796390506,1,HOLD,0.009999860894734277
AMZN,0.3105910009221952,0.38470703085679614,0.30470196822100865,2,BUY,0.013921126445029842
AMZN,0.2937279119437946,0.40997104123778805,0.29630104681841746,0,SELL,-0.008012836242670535
AMZN,0.3077365443294972,0.39722191590033745,0.2950415397701653,1,HOLD,0.003598354221935051
AMZN,0.32491190346198573,0.3992285004463903,0.2758595960916241,2,BUY,0.01711152033504944
AMZN,0.3148984749033447,0.3863445714517743,0.2987569536448811,1,HOLD,-0.0034075702705456917
AMZN,0.2895020198849995,0.4263004500015084,0.2841975301134921,1,HOLD,0.00581605955069594
AMZN,0.2708401634823836,0.42713048088043143,0.302029355637185,0,SELL,-0.007675754918146071
AMZN,0.2865768591061212,0.4134157175122722,0.30000742338160663,1,HOLD,-0.0035559103854630675
AMZN,0.29866763999259693,0.402508545291348,0.2988238147160551,2,BUY,0.016886027515609428
AMZN,0.3527585018712032,0.3271169953482752,0.3201245027805215,0,SELL,-0.08631653211497635
AMZN,0.34163358836507757,0.27915507556369035,0.37921133607123214,0,SELL,-0.014540622735209995
AMZN,0.3105622329475139,0.35067676012026344,0.3387610069322228,1,HOLD,0.009873169687714855
AMZN,0.3050441622581795,0.33995740513221406,0.35499843260960645,2,BUY,0.03926568541504039
AMZN,0.3321905998733163,0.35964921002432404,0.3081601901023597,1,HOLD,0.003681789897764909
AMZN,0.31740287222967223,0.3615225976564955,0.32107453011383225,1,HOLD,-0.0019739023688590293
AMZN,0.300754599049454,0.3917664537390749,0.3074789472114711,1,HOLD,-0.006261419913672536
AMZN,0.2930866373755955,0.3874881562990862,0.31942520632531823,1,HOLD,0.0007678847964323423
AMZN,0.3101804397579263,0.3837567640840664,0.30606279615800736,2,BUY,0.013855775538096454
AMZN,0.3034270165034701,0.40728928469510495,0.289283698801425,2,BUY,0.028188187008165968
AMZN,0.31669882090573553,0.3805347069003771,0.3027664721938873,1,HOLD,0.00021645874568753922
AMZN,0.2949024070007741,0.3955372098356075,0.30956038316361834,1,HOLD,0.001989132843084511
AMZN,0.28369913876777203,0.41264846620040596,0.303652395031822,0,SELL,-0.015147236228621111
AMZN,0.2879146522095321,0.4049575881432006,0.3071277596472674,0,SELL,-0.018591996826338653
AMZN,0.3161513379162905,0.37832324067183315,0.30552542141187633,0,SELL,-0.008345349193359648
