number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_filtros_base,params_focal_gamma,params_grad_clip,params_hidden,params_kernel,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
31,0.34410562002718864,2026-08-14 23:32:06.853072,2026-08-14 23:32:34.938589,0 days 00:00:28.085517,128,False,balanced,val_loss,0.4962048239399205,robust,110,2.198005058676373,0.5,118,3,,1,60,focal,0.002820418649890106,last,cosine,0.0031349416693915236,COMPLETE
32,0.25398097300569333,2026-08-14 23:32:34.947940,2026-08-14 23:33:25.398232,0 days 00:00:50.450292,128,False,balanced,val_loss,0.4298877574965585,robust,105,2.187341253746957,0.5,238,3,,1,60,focal,0.000780144367286029,meanmax,plateau,0.027275873251756136,COMPLETE
33,0.31972070989235113,2026-08-14 23:33:25.407267,2026-08-14 23:33:49.040745,0 days 00:00:23.633478,128,False,balanced,val_loss,0.48787145843725305,minmax,66,2.2047247535689793,5.0,101,3,,1,60,focal,0.002777653354114367,last,cosine,0.023666210012234186,COMPLETE
34,0.3339701777565463,2026-08-14 23:33:49.050370,2026-08-14 23:34:59.722127,0 days 00:01:10.671757,128,False,sqrt,val_loss,0.4937918092273339,robust,107,2.3456173943644765,1.0,249,5,,2,60,focal,0.0004625248396097191,last,cosine,0.00031122424266688184,COMPLETE
35,0.3209447324642679,2026-08-14 23:34:59.733135,2026-08-14 23:35:22.668146,0 days 00:00:22.935011,512,False,sqrt,val_loss,0.5050646761475978,robust,104,,0.5,202,3,0.003662439618102281,1,60,ce,0.0020987798507867664,last,cosine,0.004378969586474522,COMPLETE
36,0.31042791361900623,2026-08-14 23:35:22.678250,2026-08-14 23:35:46.553935,0 days 00:00:23.875685,128,True,balanced,val_loss,0.5642545059701372,robust,58,2.445178074627031,0.5,122,3,,1,20,focal,0.0021903744999686894,attn,cosine,0.0011783191463012157,COMPLETE
37,0.3255047321063707,2026-08-14 23:35:46.560765,2026-08-14 23:36:33.845807,0 days 00:00:47.285042,64,False,balanced,val_loss,0.47693919880991464,robust,105,2.003505856049792,0.5,155,3,,1,40,focal,0.0007344967403644516,last,cosine,0.000740588328402383,COMPLETE
38,0.2958956218590729,2026-08-14 23:36:33.855100,2026-08-14 23:40:21.103286,0 days 00:03:47.248186,128,False,balanced,val_f1_ma3,0.43662589504579136,robust,67,2.692325744939535,0.5,164,3,,2,60,focal,0.001346615908781994,last,cosine,0.00218149208765359,COMPLETE
39,0.3151291199456337,2026-08-14 23:40:21.112540,2026-08-14 23:40:32.655928,0 days 00:00:11.543388,256,True,none,val_f1_ma3,0.3193319893763529,standard,61,2.1640943198012383,5.0,47,7,,2,20,focal,0.000376218459296726,last,plateau,9.67961836237896e-06,PRUNED
40,0.3324748240140092,2026-08-14 23:40:32.666334,2026-08-14 23:40:53.252171,0 days 00:00:20.585837,256,False,balanced,val_f1_ma3,0.21970515551251474,minmax,28,2.573015567579225,5.0,95,7,,3,10,focal,0.00013637717316307698,last,plateau,9.298076717450998e-05,COMPLETE
