number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_escalador,params_l1_ratio,params_penalty,state
60,0.3364666663485747,2026-08-15 00:16:46.572312,2026-08-15 00:16:47.030156,0 days 00:00:00.457844,0.00010637717348547973,balanced,robust,,l2,COMPLETE
61,0.3358362197728047,2026-08-15 00:16:47.038150,2026-08-15 00:16:47.501038,0 days 00:00:00.462888,0.004098306046414126,balanced,robust,,l2,COMPLETE
62,0.3167444768503766,2026-08-15 00:16:47.507424,2026-08-15 00:16:47.952938,0 days 00:00:00.445514,14.450876932287512,none,standard,,l2,COMPLETE
63,0.33329983458104295,2026-08-15 00:16:47.959977,2026-08-15 00:16:48.412888,0 days 00:00:00.452911,0.0016810168941906523,balanced,robust,,l2,COMPLETE
64,0.18881213598808075,2026-08-15 00:16:48.419599,2026-08-15 00:16:48.586034,0 days 00:00:00.166435,0.00037837182945853133,balanced,robust,,l1,COMPLETE
65,0.3365375832007975,2026-08-15 00:16:48.592819,2026-08-15 00:16:49.039513,0 days 00:00:00.446694,0.0007333836307470475,balanced,robust,,l2,COMPLETE
66,0.33402466594061453,2026-08-15 00:16:49.046244,2026-08-15 00:16:49.482357,0 days 00:00:00.436113,0.00011674384291245223,balanced,robust,,l2,COMPLETE
67,0.18881213598808075,2026-08-15 00:16:49.488292,2026-08-15 00:16:49.641361,0 days 00:00:00.153069,0.00025520225824555255,balanced,robust,0.9421605141410054,elasticnet,COMPLETE
68,0.3343721419959789,2026-08-15 00:16:49.647986,2026-08-15 00:16:50.096453,0 days 00:00:00.448467,0.0018438177436828366,balanced,robust,,l2,COMPLETE
69,0.3161138984098599,2026-08-15 00:16:50.104420,2026-08-15 00:16:50.606964,0 days 00:00:00.502544,0.9272471960542883,none,robust,,l2,COMPLETE
70,0.3224612058436107,2026-08-15 00:16:50.614986,2026-08-15 00:16:53.239959,0 days 00:00:02.624973,0.41539344923719423,none,robust,,l1,COMPLETE
71,0.3327271018520185,2026-08-15 00:16:53.246443,2026-08-15 00:16:53.694710,0 days 00:00:00.448267,0.0015558240579156767,balanced,robust,,l2,COMPLETE
72,0.335217544706029,2026-08-15 00:16:53.701164,2026-08-15 00:16:54.148163,0 days 00:00:00.446999,0.0009792451134732197,balanced,robust,,l2,COMPLETE
73,0.3364658026985358,2026-08-15 00:16:54.155051,2026-08-15 00:16:54.589659,0 days 00:00:00.434608,0.00010217101147640074,balanced,robust,,l2,COMPLETE
74,0.30881704776028684,2026-08-15 00:16:54.597023,2026-08-15 00:16:55.034969,0 days 00:00:00.437946,0.0005958470628057462,none,robust,,l2,COMPLETE
75,0.18881213598808075,2026-08-15 00:16:55.041139,2026-08-15 00:16:55.192811,0 days 00:00:00.151672,0.00010014520663461644,none,robust,0.5900651528469971,elasticnet,COMPLETE
76,0.33612348090223193,2026-08-15 00:16:55.199433,2026-08-15 00:16:55.649765,0 days 00:00:00.450332,0.0009311038021509088,balanced,robust,,l2,COMPLETE
77,0.3364720954746719,2026-08-15 00:16:55.657501,2026-08-15 00:16:56.097104,0 days 00:00:00.439603,0.00010704291903373221,balanced,robust,,l2,COMPLETE
78,0.333331502645279,2026-08-15 00:16:56.104303,2026-08-15 00:16:56.556371,0 days 00:00:00.452068,0.0011103370894226233,balanced,robust,,l2,COMPLETE
79,0.3349940953156693,2026-08-15 00:16:56.563808,2026-08-15 00:16:57.002593,0 days 00:00:00.438785,0.00010001947484650685,balanced,robust,,l2,COMPLETE
80,0.3326889806368431,2026-08-15 00:16:57.009396,2026-08-15 00:16:57.453447,0 days 00:00:00.444051,0.0014624232111820862,balanced,robust,,l2,COMPLETE
81,0.33438976269125337,2026-08-15 00:16:57.459510,2026-08-15 00:16:57.897461,0 days 00:00:00.437951,0.00012692862936505107,balanced,robust,,l2,COMPLETE
