number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_focal_gamma,params_grad_clip,params_hidden,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
34,0.33966513876097315,2026-08-14 22:07:52.936487,2026-08-14 22:08:27.999118,0 days 00:00:35.062631,64,True,balanced,val_f1,0.422721007205898,robust,1.8478224730594432,0.5,33,,1,10,focal,0.0009623908292178993,attn,none,0.006452411961421176,COMPLETE
35,0.33360384210279176,2026-08-14 22:08:28.007784,2026-08-14 22:08:50.984045,0 days 00:00:22.976261,128,True,balanced,val_loss,0.46424553445553496,robust,1.3820329042705806,1.0,46,,2,60,focal,0.000255294136998275,last,cosine,0.009441923841651451,COMPLETE
36,0.32631476620977934,2026-08-14 22:08:51.056833,2026-08-14 22:09:08.860707,0 days 00:00:17.803874,64,False,balanced,val_loss,0.5326550902896651,robust,1.7595242358195573,0.5,21,,1,20,focal,6.712149756327327e-05,last,none,0.027323893569183504,PRUNED
37,0.33856198204796906,2026-08-14 22:09:08.866629,2026-08-14 22:09:20.743489,0 days 00:00:11.876860,512,False,balanced,val_loss,0.5702111244050727,standard,1.2741536652448366,0.5,21,,1,10,focal,0.0021807421348471337,attn,none,0.0003334271055393062,COMPLETE
38,0.32549951040479597,2026-08-14 22:09:20.778110,2026-08-14 22:10:46.972984,0 days 00:01:26.194874,64,True,balanced,val_loss,0.40867814682427117,minmax,2.1213158520621587,1.0,30,,1,10,focal,0.00020715032878590732,attn,cosine,0.01946094171116833,COMPLETE
39,0.3444725215272047,2026-08-14 22:10:46.983025,2026-08-14 22:11:06.017393,0 days 00:00:19.034368,128,True,balanced,val_loss,0.5033408520086423,robust,1.4526055731185374,0.5,46,,1,10,focal,0.0005712795229992073,meanmax,none,0.034362807614071275,COMPLETE
40,0.3077691152275796,2026-08-14 22:11:06.025770,2026-08-14 22:11:09.187258,0 days 00:00:03.161488,512,True,none,val_loss,0.367429261180431,robust,1.2670724424773736,0.5,107,,1,10,focal,0.0004835024499279517,meanmax,none,0.03322542500259099,PRUNED
41,0.32154891115534107,2026-08-14 22:11:09.193511,2026-08-14 22:11:45.451258,0 days 00:00:36.257747,128,True,balanced,val_loss,0.523031933097114,minmax,,0.5,23,0.16319631849002303,1,10,ce,0.0006127586003962894,attn,none,0.052079238732911606,COMPLETE
42,0.32733254213999174,2026-08-14 22:11:45.459040,2026-08-14 22:12:04.717450,0 days 00:00:19.258410,128,True,balanced,val_loss,0.28531556271353337,standard,1.58799825949997,0.5,62,,1,10,focal,0.0003303799257845519,last,none,0.011753580466203645,COMPLETE
43,0.31258312092055124,2026-08-14 22:12:04.724201,2026-08-14 22:12:14.277295,0 days 00:00:09.553094,128,True,sqrt,val_loss,0.5163720449910453,robust,1.7273771896933523,0.5,29,,1,10,focal,0.0008228481198628882,attn,plateau,0.008064887785935039,PRUNED
44,0.35798755773414437,2026-08-14 22:12:14.283776,2026-08-14 22:12:24.816799,0 days 00:00:10.533023,256,True,balanced,val_loss,0.46528233804576796,robust,1.4613200931619594,0.5,52,,1,10,focal,0.0016478644336222357,meanmax,none,0.008600168150919156,COMPLETE
45,0.34129416161411,2026-08-14 22:12:24.823729,2026-08-14 22:12:37.017463,0 days 00:00:12.193734,256,True,balanced,val_loss,0.4304409307864159,robust,1.307203842045747,5.0,106,,2,10,focal,0.0008869887762290434,meanmax,plateau,0.005783301193685967,COMPLETE
46,0.33847308229145245,2026-08-14 22:12:37.024389,2026-08-14 22:12:52.452005,0 days 00:00:15.427616,256,True,balanced,val_loss,0.3208145018046743,minmax,1.8346732361898366,1.0,33,,1,10,focal,0.001926908073264182,meanmax,none,0.005532119339597552,COMPLETE
47,0.35062922889208437,2026-08-14 22:12:52.459520,2026-08-14 22:13:45.767624,0 days 00:00:53.308104,64,True,balanced,val_loss,0.18649233067183152,robust,1.3284579086567527,0.5,42,,3,10,focal,5.9515458133455036e-05,attn,plateau,0.0022530913039846842,COMPLETE
48,0.3440495769830226,2026-08-14 22:13:45.776347,2026-08-14 22:14:53.294482,0 days 00:01:07.518135,64,True,balanced,val_loss,0.07446802265543946,robust,1.2375035315350125,0.5,16,,3,10,focal,7.076831492350222e-05,attn,plateau,0.0023859410710889216,COMPLETE
49,0.29923313116061845,2026-08-14 22:14:53.302059,2026-08-14 22:15:04.693076,0 days 00:00:11.391017,256,True,sqrt,val_loss,0.4174078463715707,robust,1.3028314313777465,0.5,42,,1,60,focal,0.002099109832535346,meanmax,none,0.015246340801840178,COMPLETE
50,0.3172702724921079,2026-08-14 22:15:04.699740,2026-08-14 22:15:11.281792,0 days 00:00:06.582052,256,True,balanced,val_loss,0.5201714517397067,robust,1.6884542308678228,0.5,26,,1,10,focal,0.0005183306315981847,meanmax,plateau,0.023058161699861485,PRUNED
51,0.3374381491790197,2026-08-14 22:15:11.288510,2026-08-14 22:15:57.792209,0 days 00:00:46.503699,64,True,balanced,val_f1,0.041042041036936414,robust,1.122669339531899,0.5,17,,3,10,focal,2.6517022092379487e-05,attn,plateau,0.0016753797389222546,COMPLETE
52,0.2528033142187152,2026-08-14 22:15:57.799687,2026-08-14 22:16:08.138497,0 days 00:00:10.338810,64,True,balanced,val_loss,0.29284301515067984,robust,1.1429796058210242,0.5,23,,3,60,focal,8.450727261333301e-05,attn,plateau,0.0008201498721193069,PRUNED
53,0.3580019221110713,2026-08-14 22:16:08.145069,2026-08-14 22:16:25.627059,0 days 00:00:17.481990,256,True,balanced,val_loss,0.05615502678745947,robust,1.2572184973692249,0.5,19,,3,40,focal,0.00012419868498405242,last,plateau,0.0018918960737621178,COMPLETE
54,0.33653748664850436,2026-08-14 22:16:25.634135,2026-08-14 22:16:35.287857,0 days 00:00:09.653722,512,True,balanced,val_loss,0.09656876356364243,robust,1.4159719133430622,0.5,17,,3,40,focal,0.00023534493827392808,last,plateau,0.008046327250601138,COMPLETE
55,0.30295224075873706,2026-08-14 22:16:35.297442,2026-08-14 22:17:33.374428,0 days 00:00:58.076986,64,True,none,val_loss,0.31373923328319675,standard,1.4502019195638332,0.5,47,,3,10,focal,2.7914111081667204e-05,attn,cosine,0.007301120070188009,COMPLETE
56,0.31493259428839177,2026-08-14 22:17:33.381634,2026-08-14 22:17:59.761666,0 days 00:00:26.380032,256,True,balanced,val_f1_ma3,0.5010017381128928,robust,,0.5,121,0.18441429730732825,1,10,ce,0.002952419789271364,meanmax,none,0.027486404898242243,COMPLETE
57,0.29868662173544913,2026-08-14 22:17:59.768637,2026-08-14 22:18:09.461101,0 days 00:00:09.692464,256,False,balanced,val_loss,0.09073994139538595,robust,1.1229192222012947,0.5,29,,3,40,focal,3.4022108286819765e-05,last,plateau,0.00045948064405550474,PRUNED
58,0.36024363041685226,2026-08-14 22:18:09.469058,2026-08-14 22:18:44.062128,0 days 00:00:34.593070,64,False,balanced,val_loss,0.3225089630958836,robust,1.749535882812712,0.5,116,,3,10,focal,8.816188174001814e-05,attn,plateau,0.0008141054081609036,COMPLETE
59,0.31201786693974537,2026-08-14 22:18:44.071014,2026-08-14 22:19:13.604383,0 days 00:00:29.533369,64,False,balanced,val_loss,0.25576599182543164,robust,2.036875694420663,0.5,115,,3,10,focal,1.4720051768484674e-05,attn,plateau,0.009112364807893895,PRUNED
60,0.2982952722470266,2026-08-14 22:19:13.611531,2026-08-14 22:20:48.546156,0 days 00:01:34.934625,64,False,balanced,val_f1_ma3,0.33451890876006934,robust,1.9392371372487822,1.0,57,,3,10,focal,0.00021497895406437365,attn,plateau,0.0012629261665424395,COMPLETE
61,0.3434451566098097,2026-08-14 22:20:48.554380,2026-08-14 22:21:41.903103,0 days 00:00:53.348723,64,True,balanced,val_loss,0.5593655877159298,robust,1.708672988729374,5.0,51,,1,10,focal,8.3841606805134e-05,meanmax,none,0.08442973755133164,COMPLETE
62,0.3177480927001655,2026-08-14 22:21:41.911844,2026-08-14 22:21:49.805410,0 days 00:00:07.893566,256,True,sqrt,val_loss,0.17669111371040272,robust,1.593297525005587,0.5,22,,3,60,focal,3.668339626588978e-05,last,plateau,0.0017156228500038006,PRUNED
